scenario,end,year,CY,CY_ts,VOLL,isolated,CO2_cost,load_shedding_cost,VOM_cost,fuel_cost,investment_cost,CCGT,OCGT,PV,w_on,w_off,imported,exported,demand,peak_demand
National Trends,8760,2025,1984,2012,10000,false,1.4821657266985455e9,0.0,4.5817817834862836e7,1.4293211078905215e9,5.171974755674813e9,5857.994263439768,14715.584646909772,0.0,5620.808305675835,15665.738333302177,1.9757998752270594e7,3.932839151818929e7,8.69635119482746e7,14285.63010128753
National Trends,8760,2030,1984,2012,10000,false,1.7136672666766386e9,0.0,3.995719793594749e7,1.2141367276359646e9,5.313154548559551e9,6139.592448632533,14346.168201529357,0.0,6879.336190511947,15517.19306020065,2.1252587223172396e7,3.430413382708442e7,9.07719033511458e7,14716.487154535243
National Trends,8760,2040,1984,2012,10000,false,3.60890910713138e9,0.0,5.632459702679061e7,1.6937555311231327e9,7.220927332954266e9,10129.444625773534,13513.24158346128,0.0,9954.539456614248,21213.942077583997,1.5148410781300843e7,4.581006232407841e7,1.0432448647263032e8,17470.77068681304
Distributed Energy,8760,2030,1984,2012,10000,false,2.3706528598539505e9,0.0,5.6155166913808964e7,1.679612350421955e9,5.878133047089943e9,8593.669795083206,13239.133481247682,0.0,6622.499400767767,17540.744073458416,1.95295449093065e7,4.079333276852154e7,1.0081797315132202e8,15831.281969222224
Distributed Energy,8760,2040,1984,2012,10000,false,3.7172718547855873e9,0.0,5.7883542776435375e7,1.7446130057113204e9,7.906546796515434e9,10418.94890018831,16060.970557350005,0.0,10451.017624512837,23537.465051490093,1.933879605733215e7,5.578697804463436e7,1.09794583736913e8,16570.288864582377
